algorithm,size,mean_time,std_time,best_time,worst_time,mean_memory,std_memory,mean_expansions_inferences,std_expansions_inferences,success_rate
forward_chaining,4x4,0.08791958000001614,0.0073725388329379206,0.07999470000504516,0.11195900000166148,11.3765625,0.019893838308169164,25.2,3.8196169551684793,1.0
backward_chaining,4x4,0.07407736500244937,0.004484670177579014,0.06946729999617673,0.08627030000207014,63.268017578125,0.51334007223777,119,66.26342962195028,1.0
a_star,4x4,0.09086667999872589,0.00608877982039956,0.08397590000822674,0.10298919999331702,48.213671875,1.5951246067472522,9.4,1.2732056517228265,1.0
backtracking,4x4,0.07711652500001946,0.003086312073792577,0.07279160000325646,0.08600290000322275,2.65,0.17904454477352247,21.4,1.9574419397183715,1.0
brute_force,4x4,0.07758449500033748,0.007252790488915353,0.07108069999958389,0.10174980000010692,1.6671875,0.1094161106949304,25.6,7.829767758873486,1.0
forward_chaining,5x5,0.09152785000114819,0.0041707644372889485,0.08505999999761116,0.1002926000073785,22.30078125,0.3406568747157738,52,4.103913408340617,1.0
backward_chaining,5x5,0.07535063500108663,0.002250741837983632,0.07239260000642389,0.08218320000742096,153.50439453125,2.3470256735932358,185.5,51.81190678030028,1.0
a_star,5x5,0.13011888500186614,0.00732940398068365,0.11937910001142882,0.14062000000558328,95.26953125,1.9197016822218314,14,1.0259783520851542,1.0
backtracking,5x5,0.0806792149967805,0.005255499868054614,0.07396100000187289,0.09037250000983477,3.8203125,0.14427820576197478,37.5,4.616902584383193,1.0
brute_force,5x5,0.07962965000187978,0.005733308690019951,0.07164069999998901,0.09361990001343656,2.76171875,0.04408500731615896,40,7.1818484645960785,1.0
forward_chaining,6x6,0.1052252600027714,0.0019422093588874372,0.10321950000070501,0.10895779999555089,30.390625,0.0,92.5,7.905694150420948,1.0
backward_chaining,6x6,0.07621749000099953,0.0012216987286903932,0.07427349999488797,0.07854740000038873,351.3193359375,0.11940892206364974,315.5,44.79893351905204,1.0
a_star,6x6,0.22456012000038755,0.02373769851566187,0.1979049999936251,0.26907460000074934,167.265625,3.4587411908091648,19.5,1.5811388300841898,1.0
backtracking,6x6,0.08371699999988777,0.004590314360608353,0.07809670000278857,0.0926138000068022,4.59375,0.22234764798058917,66.5,7.905694150420948,1.0
brute_force,6x6,0.08241923999739811,0.007986551329918127,0.07744229999661911,0.10382159998698626,4.76171875,0.4323426488511456,192.5,74.31352501395692,1.0
forward_chaining,7x7,0.13075111000216566,0.004997837117285948,0.1254186000005575,0.1405326999956742,42.4609375,0.0,150,0.0,1.0
backward_chaining,7x7,0.08196053000137908,0.002593109047382039,0.07803590000548866,0.0860670999973081,736.9892578125,3.519475039100159,724.5,334.6743857011535,1.0
a_star,7x7,0.40113145999639527,0.02188123572238333,0.38061919999017846,0.4486047999962466,262.265625,0.3294039229342062,26,0.0,1.0
backtracking,7x7,0.09887713999924017,0.010147942352841015,0.08686860000307206,0.12037659999623429,6.578125,0.0,100.5,4.743416490252569,1.0
brute_force,7x7,0.07932679000077769,0.00416441941430148,0.07278380000207108,0.08634589999564923,4.88671875,0.1770546085771358,219,105.40925533894598,1.0
forward_chaining,9x9,0.23551520999899367,0.004064193810227644,0.2299051000009058,0.24300159999984317,66.9609375,0.0,344,0.0,1.0
backward_chaining,9x9,0.18181688000331633,0.007762066790010188,0.17070210000383668,0.19730510000954382,2780.6748046875,0.0,9166,0.0,1.0
a_star,9x9,1.590950509997492,0.051417552509317815,1.5310770999931265,1.6815693999960786,567.9375,0.0,44,0.0,1.0
backtracking,9x9,0.13077265999891097,0.007324816438656154,0.12148229999002069,0.1447916999895824,9.109375,0.0,225,0.0,1.0
brute_force,9x9,0.09495380999869667,0.011778696230371463,0.08367200000793673,0.11659589999180753,12.1015625,0.0,2511,0.0,1.0
