algorithm,size,mean_time,std_time,best_time,worst_time,mean_memory,std_memory,mean_expansions_inferences,std_expansions_inferences,success_rate
forward_chaining,6x6,0.4684646400390193,0.4853648087991659,0.14666150021366775,1.3305257000029087,64.490625,52.69944429532875,288.5,230.9325298292411,1.0
backward_chaining,6x6,18.16128774286647,13.468308009448835,3.533820000011474,32.46958209993318,358.8198939732143,0.23802954357825296,3243734,2180241.309328855,0.7
a_star,6x6,1.8651408500038087,1.8251637928614928,0.5724758999422193,4.637350000208244,254.98203125,112.02408928438894,81.2,76.47047360474063,1.0
backtracking,6x6,8.906049971435484,8.254934471931122,0.12210429995320737,17.134230999974534,7.896205357142857,1.4156493907548728,46890.42857142857,43529.90751524421,0.7
brute_force,6x6,21.75976300998591,28.010437749344113,0.34355779993347824,64.43608210003003,6.803125,0.6722866955709198,3600154.5,4635611.01936841,1.0
forward_chaining,7x7,0.7638527700211852,0.39613587138919976,0.18333250004798174,1.216450700070709,204.31875,111.69872719026156,268.6,60.38984462087424,1.0
backward_chaining,7x7,4.813968966715038,0.106518236586736,4.743080300046131,4.9364606000017375,747.0859375,0.0,752403,0.0,0.3
a_star,7x7,2.8084269699640574,2.268556086862625,1.1899880999699235,6.318329300032929,473.1828125,261.6963708093631,96.3,81.22540653432685,1.0
backtracking,7x7,3.926000769995153,5.717564372295968,0.33373710000887513,12.650510499952361,12.06796875,1.6028177245722999,21125.7,31050.230040479033,1.0
brute_force,7x7,0.5814081856847874,0.6108410198660608,0.09602519986219704,1.6595980999991298,7.892857142857143,0.10439892262204077,53047,64180.64915533342,0.7
forward_chaining,9x9,2.543892479990609,0.08984439376264101,2.4683110998012125,2.7228457999881357,170.9765625,0.0,901,0.0,1.0
backward_chaining,9x9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a_star,9x9,39.13473575997632,1.963744873233186,37.53117799991742,42.51852759998292,2446.6796875,0.0,477,0.0,1.0
backtracking,9x9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brute_force,9x9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
